category,experiment_id,has_additive,additive_name,mof_type,sample_id,saturated_weight_mg,dry_weight_mg,adsorption_heat_mj,desorption_heat_mj,adsorption_amount_mg,adsorption_amount_mmol,specific_adsorption_heat_j_g,specific_desorption_heat_j_g,specific_adsorption_mmol_g,desorption_energy_kj_mol_exp,experiment_date,additive_purity,solvent_name,mof_mass_mg,amine_mass_g,solvent_volume_ml,mixing_time_hr,,drying_temp_c,product_form
control,C7,0,none,Benchmark-1,C7,11.6025,10.6589,1469.71,-2514.72,0.9436,0.021440582,137.8857105,-235.9267842,2.01151917,-117.2878627,,,,,,,,,,
control,C5,0,none,ITRI-MOF-1,C5,13.385,11.9566,923.78,-4002.1,1.4284,0.03245626,77.26109429,-334.7189,2.714505791,-123.3074916,,,,,,,,,,
control,C6,0,none,ITRI-MOF-2,C6,14.1843,11.7765,769.26,-7194.76,2.4078,0.054710293,65.32161508,-610.9421305,4.645717583,-131.5065153,,,,,,,,,,
control,C1,0,none,ITRI-MOF-3,C1,13.9183,12.899,312.8,-3068.55,1.0193,0.023160645,24.24994186,-237.8905341,1.79553805,-132.4898317,,,,,,,,,,
control,C7-2,0,none,Benchmark-1,C7-2,11.4566,10.6293,1236.27,-2648.13,0.8273,0.018798,116.3077531,-249.1349383,1.768507847,-140.8729618,,,,,,,,,,
control,C4,0,none,ITRI-MOF-4,C4,15.2926,13.2791,561.25,-6903.15,2.0135,0.045750966,42.26566559,-519.8507429,3.445336332,-150.8853397,,,,,,,,,,
control,C2,0,none,ITRI-MOF-5,C2,13.1493,12.7307,588.07,-1467.84,0.4186,0.009511475,46.19306087,-115.2992373,0.747128961,-154.3230731,,,,,,,,,,
control,C3,0,none,ITRI-MOF-6,C3,16.4656,15.9169,499.09,-2045.23,0.5487,0.012467621,31.35598012,-128.494242,0.783294548,-164.0433248,,,,,,,,,,
control,C8,0,none,Benchmark-2,C8,11.2429,10.619,1286.09,-2361.07,0.6239,0.014176324,121.1121575,-222.3439119,1.334996098,-166.5502335,,,,,,,,,,
M01,14,1,Additive-1,ITRI-MOF-3,M01-14,13.7905,12.8767,2358.38,-2454.17,0.9138,0.020763463,183.1509626,-190.5899804,1.612483233,-118.1965657,2025/5/28,industrial level,Solvent-1,2,0.1,10,8,dry-method-1,45,"solid, crystal like"
M01,17,1,Additive-1,ITRI-MOF-3,M01-17,12.3202,11.9637,433.79,-1446.82,0.3565,0.008100432,36.25884969,-120.9341592,0.677084156,-178.6102334,2025/6/4,industrial level,Solvent-2,2,0.5,10,8,dry-method-2,55,"solid, powder"
